loss -> tensor(1.2462, grad_fn=<AddBackward0>)
loss -> tensor(0.8854, grad_fn=<AddBackward0>)
loss -> tensor(1.0549, grad_fn=<AddBackward0>)
loss -> tensor(1.1434, grad_fn=<AddBackward0>)
loss -> tensor(1.2677, grad_fn=<AddBackward0>)
loss -> tensor(0.7255, grad_fn=<AddBackward0>)
loss -> tensor(0.6696, grad_fn=<AddBackward0>)
loss -> tensor(0.797, grad_fn=<AddBackward0>)
loss -> tensor(0.9391, grad_fn=<AddBackward0>)
loss -> tensor(0.6881, grad_fn=<AddBackward0>)
loss -> tensor(0.6868, grad_fn=<AddBackward0>)
loss -> tensor(0.6418, grad_fn=<AddBackward0>)
loss -> tensor(0.9673, grad_fn=<AddBackward0>)
loss -> tensor(1.0346, grad_fn=<AddBackward0>)
loss -> tensor(1.2102, grad_fn=<AddBackward0>)
loss -> tensor(1.2767, grad_fn=<AddBackward0>)
loss -> tensor(0.6002, grad_fn=<AddBackward0>)
loss -> tensor(1.0314, grad_fn=<AddBackward0>)
loss -> tensor(0.7382, grad_fn=<AddBackward0>)
loss -> tensor(0.897, grad_fn=<AddBackward0>)
loss -> tensor(0.7847, grad_fn=<AddBackward0>)
loss -> tensor(1.2514, grad_fn=<AddBackward0>)
loss -> tensor(0.6072, grad_fn=<AddBackward0>)
loss -> tensor(1.2642, grad_fn=<AddBackward0>)
loss -> tensor(0.744, grad_fn=<AddBackward0>)
loss -> tensor(0.8486, grad_fn=<AddBackward0>)
loss -> tensor(0.7735, grad_fn=<AddBackward0>)
loss -> tensor(0.7705, grad_fn=<AddBackward0>)
loss -> tensor(0.7969, grad_fn=<AddBackward0>)
loss -> tensor(0.9148, grad_fn=<AddBackward0>)
loss -> tensor(0.717, grad_fn=<AddBackward0>)
loss -> tensor(1.058, grad_fn=<AddBackward0>)
loss -> tensor(1.1222, grad_fn=<AddBackward0>)
loss -> tensor(1.1536, grad_fn=<AddBackward0>)
loss -> tensor(0.9453, grad_fn=<AddBackward0>)
loss -> tensor(1.2901, grad_fn=<AddBackward0>)
loss -> tensor(0.8683, grad_fn=<AddBackward0>)
loss -> tensor(1.0615, grad_fn=<AddBackward0>)
loss -> tensor(0.9696, grad_fn=<AddBackward0>)
loss -> tensor(1.0576, grad_fn=<AddBackward0>)
loss -> tensor(0.638, grad_fn=<AddBackward0>)
loss -> tensor(0.6015, grad_fn=<AddBackward0>)
loss -> tensor(1.2964, grad_fn=<AddBackward0>)
loss -> tensor(1.0104, grad_fn=<AddBackward0>)
loss -> tensor(0.93, grad_fn=<AddBackward0>)
